7894	INTENSITY/STRENGTH	40.331018
7894	VALENCE/PLEASANTNESS	23.203154
7894	BAKERY	7.175947
7894	SWEET	13.191242
7894	FRUIT	11.697788
7894	FISH	7.495044
7894	GARLIC	8.859278
7894	SPICES	8.487275
7894	COLD	7.061036
7894	SOUR	12.052368
7894	BURNT	8.068777
7894	ACID	9.973128
7894	WARM	6.213796
7894	MUSKY	11.847209
7894	SWEATY	7.623516
7894	AMMONIA/URINOUS	8.727085
7894	DECAYED	8.790675
7894	WOOD	2.17122
7894	GRASS	6.332585
7894	FLOWER	9.545331
7894	CHEMICAL	14.700956
6505	INTENSITY/STRENGTH	38.567556
6505	VALENCE/PLEASANTNESS	21.447123
6505	BAKERY	5.85932
6505	SWEET	11.722061
6505	FRUIT	10.540702
6505	FISH	5.858486
6505	GARLIC	7.927172
6505	SPICES	7.23495
6505	COLD	4.191601
6505	SOUR	10.793002
6505	BURNT	6.795355
6505	ACID	6.043582
6505	WARM	5.730354
6505	MUSKY	10.436095
6505	SWEATY	7.237463
6505	AMMONIA/URINOUS	8.643513
6505	DECAYED	7.83629
6505	WOOD	2.239553
6505	GRASS	4.95826
6505	FLOWER	6.938137
6505	CHEMICAL	11.425595
9862	INTENSITY/STRENGTH	38.683958
9862	VALENCE/PLEASANTNESS	21.79818
9862	BAKERY	8.199758
9862	SWEET	12.861039
9862	FRUIT	11.200855
9862	FISH	6.835941
9862	GARLIC	7.812802
9862	SPICES	8.173899
9862	COLD	6.676095
9862	SOUR	10.843425
9862	BURNT	6.211374
9862	ACID	8.679566
9862	WARM	6.618761
9862	MUSKY	10.802473
9862	SWEATY	7.733649
9862	AMMONIA/URINOUS	7.379781
9862	DECAYED	9.151985
9862	WOOD	3.053047
9862	GRASS	6.036782
9862	FLOWER	8.651661
9862	CHEMICAL	13.163
241	INTENSITY/STRENGTH	40.476471
241	VALENCE/PLEASANTNESS	26.647174
241	BAKERY	9.259682
241	SWEET	17.674824
241	FRUIT	15.592892
241	FISH	9.666827
241	GARLIC	11.248671
241	SPICES	10.057517
241	COLD	7.985885
241	SOUR	14.643347
241	BURNT	9.081121
241	ACID	11.688147
241	WARM	6.770211
241	MUSKY	14.310603
241	SWEATY	9.517455
241	AMMONIA/URINOUS	10.614435
241	DECAYED	11.271205
241	WOOD	1.800182
241	GRASS	7.444636
241	FLOWER	11.310631
241	CHEMICAL	17.386636
660	INTENSITY/STRENGTH	36.901714
660	VALENCE/PLEASANTNESS	22.890737
660	BAKERY	11.173738
660	SWEET	16.063082
660	FRUIT	13.717067
660	FISH	7.83931
660	GARLIC	8.463186
660	SPICES	9.103995
660	COLD	7.125508
660	SOUR	11.474962
660	BURNT	4.815388
660	ACID	8.706812
660	WARM	7.583172
660	MUSKY	11.54588
660	SWEATY	9.375837
660	AMMONIA/URINOUS	7.210643
660	DECAYED	11.599645
660	WOOD	3.838472
660	GRASS	6.638613
660	FLOWER	9.116861
660	CHEMICAL	13.604596
32594	INTENSITY/STRENGTH	40.584202
32594	VALENCE/PLEASANTNESS	23.447696
32594	BAKERY	6.198399
32594	SWEET	12.990056
32594	FRUIT	11.683057
32594	FISH	7.326979
32594	GARLIC	9.175192
32594	SPICES	8.250243
32594	COLD	6.236074
32594	SOUR	12.342954
32594	BURNT	8.652518
32594	ACID	9.281469
32594	WARM	5.831183
32594	MUSKY	11.986141
32594	SWEATY	7.48877
32594	AMMONIA/URINOUS	9.506587
32594	DECAYED	8.327337
32594	WOOD	1.69801
32594	GRASS	6.02345
32594	FLOWER	9.129057
32594	CHEMICAL	14.423669
9025	INTENSITY/STRENGTH	36.879623
9025	VALENCE/PLEASANTNESS	25.227134
9025	BAKERY	13.123891
9025	SWEET	19.355063
9025	FRUIT	16.500907
9025	FISH	9.464963
9025	GARLIC	10.015132
9025	SPICES	10.334322
9025	COLD	8.171228
9025	SOUR	13.181944
9025	BURNT	5.255639
9025	ACID	10.249846
9025	WARM	8.16158
9025	MUSKY	13.233761
9025	SWEATY	10.790851
9025	AMMONIA/URINOUS	8.185377
9025	DECAYED	13.588572
9025	WOOD	3.79974
9025	GRASS	7.57598
9025	FLOWER	10.568101
9025	CHEMICAL	15.644494
61331	INTENSITY/STRENGTH	37.886862
61331	VALENCE/PLEASANTNESS	23.215969
61331	BAKERY	10.33513
61331	SWEET	15.607885
61331	FRUIT	13.433202
61331	FISH	7.94368
